2020-12-09 01:41:25 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7f93f4c] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2020-12-09 01:41:25 INFO  ReportService:24 - All activities for specific report id = 8: 
[Activity{id=29, workName='Dredging work', price=20000.0, amount=1.0}, Activity{id=30, workName='Plant installation', price=250.0, amount=5.0}, Activity{id=31, workName='injection well work', price=10000.0, amount=1.0}, Activity{id=32, workName='Antenna installation', price=2000.0, amount=1.0}]
2020-12-09 01:41:25 INFO  ActivityService:29 - All activities by report id=8: [Activity{id=29, workName='Dredging work', price=20000.0, amount=1.0}, Activity{id=30, workName='Plant installation', price=250.0, amount=5.0}, Activity{id=31, workName='injection well work', price=10000.0, amount=1.0}, Activity{id=32, workName='Antenna installation', price=2000.0, amount=1.0}]
2020-12-09 01:41:25 INFO  ActivityService:39 - Total price of activities for report id=8 = 33250.0
2020-12-09 01:41:25 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2020-12-09 01:41:25 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/procamp_psv?useSSL=false&serverTimezone=UTC]
2020-12-09 01:41:25 INFO  pooling:124 - HHH10001001: Connection properties: {password=****, user=root}
2020-12-09 01:41:25 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2020-12-09 01:41:25 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 1 (min=1)
2020-12-09 01:41:25 INFO  Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-12-09 01:41:25 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@38022758] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2020-12-09 01:41:25 INFO  ActivityService:23 - All activities for building id = 4: [Activity{id=7, workName='Fusuma work', price=230.0, amount=8.5}, Activity{id=8, workName='Furniture work', price=180.0, amount=5.5}]
2020-12-09 01:41:25 INFO  ActivityService:39 - All activities by building id=4: [Activity{id=7, workName='Fusuma work', price=230.0, amount=8.5}, Activity{id=8, workName='Furniture work', price=180.0, amount=5.5}]
2020-12-09 01:41:25 INFO  ActivityService:44 - Total price of activities for specific building id=4 = 2945.0
2020-12-09 01:41:25 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2020-12-09 01:41:25 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/procamp_psv?useSSL=false&serverTimezone=UTC]
2020-12-09 01:41:25 INFO  pooling:124 - HHH10001001: Connection properties: {password=****, user=root}
2020-12-09 01:41:25 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2020-12-09 01:41:25 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 1 (min=1)
2020-12-09 01:41:25 INFO  Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-12-09 01:41:25 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6e364f1f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2020-12-09 01:41:25 WARN  deprecation:1793 - HHH90000022: Hibernate's legacy org.hibernate.Criteria API is deprecated; use the JPA javax.persistence.criteria.CriteriaQuery instead
2020-12-09 01:41:25 INFO  UserService:16 - All activities for user id = 3: [Activity{id=17, workName='Plasterwork', price=70.0, amount=35.5}, Activity{id=18, workName='Mortar work', price=30.0, amount=40.0}, Activity{id=19, workName='Concrete waterproofing', price=20.0, amount=40.5}, Activity{id=20, workName='Spray work', price=30.0, amount=50.5}, Activity{id=21, workName='Grinding work', price=180.0, amount=25.3}, Activity{id=22, workName='Washing out', price=15.0, amount=60.5}, Activity{id=23, workName='Pipe rehabilitation work', price=230.0, amount=15.5}, Activity{id=24, workName='Cooler installation', price=500.0, amount=2.0}]
2020-12-09 01:41:25 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2020-12-09 01:41:25 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/procamp_psv?useSSL=false&serverTimezone=UTC]
2020-12-09 01:41:25 INFO  pooling:124 - HHH10001001: Connection properties: {password=****, user=root}
2020-12-09 01:41:25 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2020-12-09 01:41:25 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 1 (min=1)
2020-12-09 01:41:25 INFO  Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-12-09 01:41:25 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@22cd8ec2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2020-12-09 01:41:25 WARN  deprecation:1793 - HHH90000022: Hibernate's legacy org.hibernate.Criteria API is deprecated; use the JPA javax.persistence.criteria.CriteriaQuery instead
2020-12-09 01:41:25 INFO  ActivityService:48 - All activities by user 3: [Activity{id=17, workName='Plasterwork', price=70.0, amount=35.5}, Activity{id=18, workName='Mortar work', price=30.0, amount=40.0}, Activity{id=19, workName='Concrete waterproofing', price=20.0, amount=40.5}, Activity{id=20, workName='Spray work', price=30.0, amount=50.5}, Activity{id=21, workName='Grinding work', price=180.0, amount=25.3}, Activity{id=22, workName='Washing out', price=15.0, amount=60.5}, Activity{id=23, workName='Pipe rehabilitation work', price=230.0, amount=15.5}, Activity{id=24, workName='Cooler installation', price=500.0, amount=2.0}]
2020-12-09 01:41:25 INFO  ActivityService:50 - Total price of activities for specific user id=3 = 16036.5
